paper_id,Title,Authors,Keyword,Abstract,Date,Field,Citations, ,,,,,,,,,,,,
11,LGTNet Indoor Panoramic Room Layout Estimation with GeometryAware Transformer Network,Zhigang Jiang Zhongzheng Xiang Jinhua Xu Ming Zhao,Computer Vision and Pattern Recognition (cs.CV),"  3D room layout estimation by a single panorama using deep neural networks hasmade great progress. However, previous approaches can not obtain efficientgeometry awareness of room layout with the only latitude of boundaries orhorizon-depth. We present that using horizon-depth along with room height canobtain omnidirectional-geometry awareness of room layout in both horizontal andvertical directions. In addition, we propose a planar-geometry aware lossfunction with normals and gradients of normals to supervise the planeness ofwalls and turning of corners. We propose an efficient network, LGT-Net, forroom layout estimation, which contains a novel Transformer architecture calledSWG Transformer to model geometry relations. SWG Transformer consists of(Shifted) Window Blocks and Global Blocks to combine the local and globalgeometry relations. Moreover, we design a novel relative position embedding ofTransformer to enhance the spatial identification ability for the panorama.Experiments show that the proposed LGT-Net achieves better performance thancurrent state-of-the-arts (SOTA) on benchmark datasets.    ",2022/03/03,Computer Vision,124,,,,,,,,,,,,,
12,Adaptive LocalGlobal Relational Network for Facial Action Units Recognition and Facial Paralysis Estimation,Xuri Ge Joemon M Jose Pengcheng Wang Arunachalam Iyer Xiao Liu Hu Han,Computer Vision and Pattern Recognition (cs.CV),"  Facial action units (AUs) refer to a unique set of facial muscle movements atcertain facial locations defined by the Facial Action Coding System (FACS),which can be used for describing nearly any anatomically possible facialexpression. Many existing facial action units (AUs) recognition approachesoften enhance the AU representation by combining local features from multipleindependent branches, each corresponding to a different AU, which usuallyneglect potential mutual assistance and exclusion relationship between AUbranches or simply employ a pre-defined and fixed knowledge-graph as a prior.In addition, extracting features from pre-defined AU regions of regular shapeslimits the representation ability. In this paper, we propose a novel AdaptiveLocal-Global Relational Network (ALGRNet) for facial AU recognition and applyit to facial paralysis estimation. ALGRNet mainly consists of three novelstructures, i.e., an adaptive region learning module which learns the adaptivemuscle regions based on the detected landmarks, a skip-BiLSTM module whichmodels the latent mutual assistance and exclusion relationship among local AUfeatures, and a feature fusion\&refining module which explores thecomplementarity between local AUs and the whole face for the local AUrefinement. In order to evaluate our proposed method, we migrated ALGRNet to afacial paralysis dataset which is collected and annotated by medicalprofessionals. Experiments on the BP4D and DISFA AU datasets show that theproposed approach outperforms the state-of-the-art methods by a large margin.Additionally, we also demonstrated the effectiveness of the proposed ALGRNet inapplications to facial paralysis estimation.    ",2022/03/03,Computer Vision,38,,,,,,,,,,,,,
13,Revisiting Clickbased Interactive Video Object Segmentation,Stephane Vujasinovic Sebastian Bullinger Stefan Becker Norbert SchererNegenborn Michael Arens Rainer Stiefelhagen,Computer Vision and Pattern Recognition (cs.CV),"  While current methods for interactive Video Object Segmentation (iVOS) relyon scribble-based interactions to generate precise object masks, we propose aClick-based interactive Video Object Segmentation (CiVOS) framework to simplifythe required user workload as much as possible. CiVOS builds on de-coupledmodules reflecting user interaction and mask propagation. The interactionmodule converts click-based interactions into an object mask, which is theninferred to the remaining frames by the propagation module. Additional userinteractions allow for a refinement of the object mask. The approach isextensively evaluated on the popular interactive~DAVIS dataset, but with aninevitable adaptation of scribble-based interactions with click-basedcounterparts. We consider several strategies for generating clicks during ourevaluation to reflect various user inputs and adjust the DAVIS performancemetric to perform a hardware-independent comparison. The presented CiVOSpipeline achieves competitive results, although requiring a lower userworkload.    ",2022/03/03,Computer Vision,87,,,,,,,,,,,,,
14,PINA Learning a Personalized Implicit Neural Avatar from a Single RGBD Video Sequence,Zijian Dong Chen Guo Jie Song Xu Chen Andreas Geiger Otmar Hilliges,Computer Vision and Pattern Recognition (cs.CV),"  We present a novel method to learn Personalized Implicit Neural Avatars(PINA) from a short RGB-D sequence. This allows non-expert users to create adetailed and personalized virtual copy of themselves, which can be animatedwith realistic clothing deformations. PINA does not require complete scans, nordoes it require a prior learned from large datasets of clothed humans. Learninga complete avatar in this setting is challenging, since only few depthobservations are available, which are noisy and incomplete (i.e.only partialvisibility of the body per frame). We propose a method to learn the shape andnon-rigid deformations via a pose-conditioned implicit surface and adeformation field, defined in canonical space. This allows us to fuse allpartial observations into a single consistent canonical representation. Fusionis formulated as a global optimization problem over the pose, shape andskinning parameters. The method can learn neural avatars from real noisy RGB-Dsequences for a diverse set of people and clothing styles and these avatars canbe animated given unseen motion sequences.    ",2022/03/03,Computer Vision,4,,,,,,,,,,,,,
15,ModalityAdaptive Mixup and Invariant Decomposition for RGBInfrared Person ReIdentification,Zhipeng Huang Jiawei Liu Liang Li Kecheng Zheng ZhengJun Zha,Computer Vision and Pattern Recognition (cs.CV),"  RGB-infrared person re-identification is an emerging cross-modalityre-identification task, which is very challenging due to significant modalitydiscrepancy between RGB and infrared images. In this work, we propose a novelmodality-adaptive mixup and invariant decomposition (MID) approach forRGB-infrared person re-identification towards learning modality-invariant anddiscriminative representations. MID designs a modality-adaptive mixup scheme togenerate suitable mixed modality images between RGB and infrared images formitigating the inherent modality discrepancy at the pixel-level. It formulatesmodality mixup procedure as Markov decision process, where an actor-criticagent learns dynamical and local linear interpolation policy between differentregions of cross-modality images under a deep reinforcement learning framework.Such policy guarantees modality-invariance in a more continuous latent spaceand avoids manifold intrusion by the corrupted mixed modality samples.Moreover, to further counter modality discrepancy and enforce invariant visualsemantics at the feature-level, MID employs modality-adaptive convolutiondecomposition to disassemble a regular convolution layer into modality-specificbasis layers and a modality-shared coefficient layer. Extensive experimentalresults on two challenging benchmarks demonstrate superior performance of MIDover state-of-the-art methods.    ",2022/03/03,Computer Vision,147,,,,,,,,,,,,,
16,Beyond 3D Siamese Tracking A MotionCentric Paradigm for 3D Single Object Tracking in Point Clouds,Chaoda Zheng Xu Yan Haiming Zhang Baoyuan Wang Shenghui Cheng Shuguang Cui Zhen Li,Computer Vision and Pattern Recognition (cs.CV),"  3D single object tracking (3D SOT) in LiDAR point clouds plays a crucial rolein autonomous driving. Current approaches all follow the Siamese paradigm basedon appearance matching. However, LiDAR point clouds are usually textureless andincomplete, which hinders effective appearance matching. Besides, previousmethods greatly overlook the critical motion clues among targets. In this work,beyond 3D Siamese tracking, we introduce a motion-centric paradigm to handle 3DSOT from a new perspective. Following this paradigm, we propose a matching-freetwo-stage tracker M^2-Track. At the 1^st-stage, M^2-Track localizes the targetwithin successive frames via motion transformation. Then it refines the targetbox through motion-assisted shape completion at the 2^nd-stage. Extensiveexperiments confirm that M^2-Track significantly outperforms previousstate-of-the-arts on three large-scale datasets while running at 57FPS (~8%,~17%, and ~22%) precision gains on KITTI, NuScenes, and Waymo Open Datasetrespectively). Further analysis verifies each component's effectiveness andshows the motion-centric paradigm's promising potential when combined withappearance matching.    ",2022/03/03,Computer Vision,98,,,,,,,,,,,,,
17,Ensembles of Vision Transformers as a New Paradigm for Automated Classification in Ecology,S Kyathanahally T Hardeman M Reyes E Merz T Bulas F Pomati M BaityJesi,Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG),"  Monitoring biodiversity is paramount to manage and protect natural resources,particularly in times of global change. Collecting images of organisms overlarge temporal or spatial scales is a promising practice to monitor and studybiodiversity change of natural ecosystems, providing large amounts of data withminimal interference with the environment. Deep learning models are currentlyused to automate classification of organisms into taxonomic units. However,imprecision in these classifiers introduce a measurement noise that isdifficult to control and can significantly hinder the analysis andinterpretation of data. In our study, we show that this limitation can beovercome by ensembles of Data-efficient image Transformers (DeiTs), whichsignificantly outperform the previous state of the art (SOTA). We validate ourresults on a large number of ecological imaging datasets of diverse origin, andorganisms of study ranging from plankton to insects, birds, dog breeds, animalsin the wild, and corals. On all the data sets we test, we achieve a new SOTA,with a reduction of the error with respect to the previous SOTA ranging from18.48% to 87.50%, depending on the data set, and often achieving performancesvery close to perfect classification. The main reason why ensembles of DeiTsperform better is not due to the single-model performance of DeiTs, but ratherto the fact that predictions by independent models have a smaller overlap, andthis maximizes the profit gained by ensembling. This positions DeiT ensemblesas the best candidate for image classification in biodiversity monitoring.    ",2022/03/03,Computer Vision,59,,,,,,,,,,,,,
18,Debiased Batch Normalization via Gaussian Process for Generalizable Person ReIdentification,Jiawei Liu Zhipeng Huang Liang Li Kecheng Zheng ZhengJun Zha,Computer Vision and Pattern Recognition (cs.CV),"  Generalizable person re-identification aims to learn a model with onlyseveral labeled source domains that can perform well on unseen domains. Withoutaccess to the unseen domain, the feature statistics of the batch normalization(BN) layer learned from a limited number of source domains is doubtlesslybiased for unseen domain. This would mislead the feature representationlearning for unseen domain and deteriorate the generalizaiton ability of themodel. In this paper, we propose a novel Debiased Batch Normalization viaGaussian Process approach (GDNorm) for generalizable person re-identification,which models the feature statistic estimation from BN layers as a dynamicallyself-refining Gaussian process to alleviate the bias to unseen domain forimproving the generalization. Specifically, we establish a lightweight modelwith multiple set of domain-specific BN layers to capture the discriminabilityof individual source domain, and learn the corresponding parameters of thedomain-specific BN layers. These parameters of different source domains areemployed to deduce a Gaussian process. We randomly sample several paths fromthis Gaussian process served as the BN estimations of potential new domainsoutside of existing source domains, which can further optimize these learnedparameters from source domains, and estimate more accurate Gaussian process bythem in return, tending to real data distribution. Even without a large numberof source domains, GDNorm can still provide debiased BN estimation by using themean path of the Gaussian process, while maintaining low computational costduring testing. Extensive experiments demonstrate that our GDNorm effectivelyimproves the generalization ability of the model on unseen domain.    ",2022/03/03,Computer Vision,104,,,,,,,,,,,,,
19,Weakly Supervised Object Localization as Domain Adaption,Lei Zhu Qi She Qian Chen Yunfei You Boyu Wang Yanye Lu,Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG),"  Weakly supervised object localization (WSOL) focuses on localizing objectsonly with the supervision of image-level classification masks. Most previousWSOL methods follow the classification activation map (CAM) that localizesobjects based on the classification structure with the multi-instance learning(MIL) mechanism. However, the MIL mechanism makes CAM only activatediscriminative object parts rather than the whole object, weakening itsperformance for localizing objects. To avoid this problem, this work provides anovel perspective that models WSOL as a domain adaption (DA) task, where thescore estimator trained on the source/image domain is tested on thetarget/pixel domain to locate objects. Under this perspective, a DA-WSOLpipeline is designed to better engage DA approaches into WSOL to enhancelocalization performance. It utilizes a proposed target sampling strategy toselect different types of target samples. Based on these types of targetsamples, domain adaption localization (DAL) loss is elaborated. It aligns thefeature distribution between the two domains by DA and makes the estimatorperceive target domain cues by Universum regularization. Experiments show thatour pipeline outperforms SOTA methods on multi benchmarks. Code are released at\url{this https URL}.    ",2022/03/03,Computer Vision,19,,,,,,,,,,,,,
20,Capturing Shape Information with MultiScale Topological Loss Terms for 3D Reconstruction,Dominik J E Waibel Scott Atwell Matthias Meier Carsten Marr Bastian Rieck,Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG); Image and Video Processing (eess.IV); Machine Learning (stat.ML),"  Reconstructing 3D objects from 2D images is both challenging for our brainsand machine learning algorithms. To support this spatial reasoning task,contextual information about the overall shape of an object is critical.However, such information is not captured by established loss terms (e.g. Diceloss). We propose to complement geometrical shape information by includingmulti-scale topological features, such as connected components, cycles, andvoids, in the reconstruction loss. Our method calculates topological featuresfrom 3D volumetric data based on cubical complexes and uses an optimaltransport distance to guide the reconstruction process. This topology-awareloss is fully differentiable, computationally efficient, and can be added toany neural network. We demonstrate the utility of our loss by incorporating itinto SHAPR, a model for predicting the 3D cell shape of individual cells basedon 2D microscopy images. Using a hybrid loss that leverages both geometricaland topological information of single objects to assess their shape, we findthat topological information substantially improves the quality ofreconstructions, thus highlighting its ability to extract more relevantfeatures from image datasets.    ",2022/03/03,Computer Vision,38,,,,,,,,,,,,,
21,Relative distance matters for oneshot landmark detection,Qingsong Yao Jianji Wang Yihua Sun Quan Quan Heqin Zhu S Kevin Zhou,Computer Vision and Pattern Recognition (cs.CV),"  Contrastive learning based methods such as cascade comparing to detect (CC2D)have shown great potential for one-shot medical landmark detection. However,the important cue of relative distance between landmarks is ignored in CC2D. Inthis paper, we upgrade CC2D to version II by incorporating asimple-yet-effective relative distance bias in the training stage, which istheoretically proved to encourage the encoder to project the relatively distantlandmarks to the embeddings with low similarities. As consequence, CC2Dv2 isless possible to detect a wrong point far from the correct landmark.Furthermore, we present an open-source, landmark-labeled dataset for themeasurement of biomechanical parameters of the lower extremity to alleviate theburden of orthopedic surgeons. The effectiveness of CC2Dv2 is evaluated on thepublic dataset from the ISBI 2015 Grand-Challenge of cephalometric radiographsand our new dataset, which greatly outperforms the state-of-the-art one-shotlandmark detection approaches.    ",2022/03/03,Computer Vision,121,,,,,,,,,,,,,
22,Bridging the Sourcetotarget Gap for Crossdomain Person ReIdentification with Intermediate Domains,Yongxing Dai Yifan Sun Jun Liu Zekun Tong Yi Yang LingYu Duan,Computer Vision and Pattern Recognition (cs.CV),"  Cross-domain person re-identification (re-ID), such as unsupervised domainadaptive (UDA) re-ID, aims to transfer the identity-discriminative knowledgefrom the source to the target domain. Existing methods commonly consider thesource and target domains are isolated from each other, i.e., no intermediatestatus is modeled between both domains. Directly transferring the knowledgebetween two isolated domains can be very difficult, especially when the domaingap is large. From a novel perspective, we assume these two domains are notcompletely isolated, but can be connected through intermediate domains. Insteadof directly aligning the source and target domains against each other, wepropose to align the source and target domains against their intermediatedomains for a smooth knowledge transfer. To discover and utilize theseintermediate domains, we propose an Intermediate Domain Module (IDM) and aMirrors Generation Module (MGM). IDM has two functions: 1) it generatesmultiple intermediate domains by mixing the hidden-layer features from sourceand target domains and 2) it dynamically reduces the domain gap between thesource / target domain features and the intermediate domain features. While IDMachieves good domain alignment, it introduces a side effect, i.e., the mix-upoperation may mix the identities into a new identity and lose the originalidentities. To compensate this, MGM is introduced by mapping the features intothe IDM-generated intermediate domains without changing their originalidentity. It allows to focus on minimizing domain variations to promote thealignment between the source / target domain and intermediate domains, whichreinforces IDM into IDM++. We extensively evaluate our method under both theUDA and domain generalization (DG) scenarios and observe that IDM++ yieldsconsistent performance improvement for cross-domain re-ID, achieving new stateof the art.    ",2022/03/03,Computer Vision,28,,,,,,,,,,,,,
23,CrossModality Earth Movers Distance for Visible Thermal Person ReIdentification,Yongguo Ling Zhun Zhong Donglin Cao Zhiming Luo Yaojin Lin Shaozi Li Nicu Sebe,Computer Vision and Pattern Recognition (cs.CV),"  Visible thermal person re-identification (VT-ReID) suffers from theinter-modality discrepancy and intra-identity variations. Distributionalignment is a popular solution for VT-ReID, which, however, is usuallyrestricted to the influence of the intra-identity variations. In this paper, wepropose the Cross-Modality Earth Mover's Distance (CM-EMD) that can alleviatethe impact of the intra-identity variations during modality alignment. CM-EMDselects an optimal transport strategy and assigns high weights to pairs thathave a smaller intra-identity variation. In this manner, the model will focuson reducing the inter-modality discrepancy while paying less attention tointra-identity variations, leading to a more effective modality alignment.Moreover, we introduce two techniques to improve the advantage of CM-EMD.First, the Cross-Modality Discrimination Learning (CM-DL) is designed toovercome the discrimination degradation problem caused by modality alignment.By reducing the ratio between intra-identity and inter-identity variances,CM-DL leads the model to learn more discriminative representations. Second, weconstruct the Multi-Granularity Structure (MGS), enabling us to alignmodalities from both coarse- and fine-grained levels with the proposed CM-EMD.Extensive experiments show the benefits of the proposed CM-EMD and itsauxiliary techniques (CM-DL and MGS). Our method achieves state-of-the-artperformance on two VT-ReID benchmarks.    ",2022/03/03,Computer Vision,21,,,,,,,,,,,,,
24,CorrelationAware Deep Tracking,Fei Xie Chunyu Wang Guangting Wang Yue Cao Wankou Yang Wenjun Zeng,Computer Vision and Pattern Recognition (cs.CV),"  Robustness and discrimination power are two fundamental requirements invisual object tracking. In most tracking paradigms, we find that the featuresextracted by the popular Siamese-like networks cannot fully discriminativelymodel the tracked targets and distractor objects, hindering them fromsimultaneously meeting these two requirements. While most methods focus ondesigning robust correlation operations, we propose a novel target-dependentfeature network inspired by the self-/cross-attention scheme. In contrast tothe Siamese-like feature extraction, our network deeply embeds cross-imagefeature correlation in multiple layers of the feature network. By extensivelymatching the features of the two images through multiple layers, it is able tosuppress non-target features, resulting in instance-varying feature extraction.The output features of the search image can be directly used for predictingtarget locations without extra correlation step. Moreover, our model can beflexibly pre-trained on abundant unpaired images, leading to notably fasterconvergence than the existing methods. Extensive experiments show our methodachieves the state-of-the-art results while running at real-time. Our featurenetworks also can be applied to existing tracking pipelines seamlessly to raisethe tracking performance. Code will be available.    ",2022/03/03,Computer Vision,88,,,,,,,,,,,,,
